"title","company"
"Back End Developer Internship","A.I Legends"
"Senior Backend Software Engineer","Si-Ware Systems"
"Senior Backend Engineer","adam.ai"
"Front-End Developer - Angular","Engaz CRM"
"Full stack developer – PHP Laravel","aloha.com.eg"
"ETIC, Java Full Stack Engineer- Senior Associate","PwC Middle East"
"Senior Web Developer","BranSpect Company 1"
"Full-Stack Developer (Flutter, Firebase, Supabase, SQL)","RocketDevs"
"Senior WordPress web developer","Adsela Marketing Solutions"
"Lead / Staff Full Stack Software Engineer (Bangkok based, relocation provided)","Agoda"
